target,gene_id,study,condition,mean,error
CDPK,NbL04g02620.1,main,wt_ag_10,14.98046666666667,0.480257171847658
CDPK,NbL04g02620.1,main,p19o_ag_2,11.78691333333333,1.959097399189512
CDPK,NbL04g02620.1,main,p19o_ag_5,13.93526666666667,1.248255428365703
CDPK,NbL04g02620.1,main,p19o_ag_7,16.8618,2.796344583559043
CDPK,NbL04g02620.1,main,p19o_ag_10,15.13356666666667,1.00513079469512
CNGC2,NbL02g23770.1,main,wt_mock_2,9.944603333333333,1.586820101758371
CNGC2,NbL02g23770.1,main,wt_mock_5,14.92426666666667,1.812809424009534
CNGC2,NbL02g23770.1,main,wt_mock_7,18.03242333333333,9.493894159030729
CNGC2,NbL02g23770.1,main,wt_mock_10,15.85083333333333,3.398725820722296
CNGC2,NbL02g23770.1,main,wt_ag_2,4.92671,0.4509782489581216
CNGC2,NbL02g23770.1,main,wt_ag_5,3.783923333333334,0.6518105223742386
CNGC2,NbL02g23770.1,main,wt_ag_7,2.900133333333333,0.5821842110916824
CNGC2,NbL02g23770.1,main,wt_ag_10,2.79082,1.005033812764526
CNGC2,NbL02g23770.1,main,p19o_ag_2,4.31749,0.2795158244774941
CNGC2,NbL02g23770.1,main,p19o_ag_5,3.89035,0.9270597133590335
CNGC2,NbL02g23770.1,main,p19o_ag_7,2.33173,0.2032445222714092
CNGC2,NbL02g23770.1,main,p19o_ag_10,2.022436666666667,0.1335214872012908
CNGC2,NbL19g10480.1,main,wt_mock_2,31.10459999999999,1.077998480209194
CNGC2,NbL19g10480.1,main,wt_mock_5,41.78723333333334,1.47660330526215
