target,gene_id,study,condition,mean,error
NRC234,NbL05g20150.1,main,p19o_ag_7,487.5668645105273,27.49708976800394
NRC234,NbL05g20150.1,main,p19o_ag_10,428.1447766842982,16.01450110377149
SAG101,NbL12g07280.1,main,wt_mock_2,95.97056252349542,12.25456982663147
SAG101,NbL12g07280.1,main,wt_mock_5,101.5558746521726,17.73834550381782
SAG101,NbL12g07280.1,main,wt_mock_7,119.8525925619695,22.11048787570898
SAG101,NbL12g07280.1,main,wt_mock_10,107.4194967915799,3.412678194063008
SAG101,NbL12g07280.1,main,wt_ag_2,351.786691795229,64.83846415045039
SAG101,NbL12g07280.1,main,wt_ag_5,359.822600962968,39.85134891316229
SAG101,NbL12g07280.1,main,wt_ag_7,396.0675001729086,56.41376866344672
SAG101,NbL12g07280.1,main,wt_ag_10,360.8371805101428,30.89184655446542
SAG101,NbL12g07280.1,main,p19o_ag_2,519.8885581665581,103.6435468958784
SAG101,NbL12g07280.1,main,p19o_ag_5,389.6088124227056,29.29442116838137
SAG101,NbL12g07280.1,main,p19o_ag_7,396.047578453878,37.17120568702473
SAG101,NbL12g07280.1,main,p19o_ag_10,352.4807838502131,7.64099926038524
SAG101,NbL02g11930.1,main,wt_mock_2,56.61473644612412,3.438872396337395
SAG101,NbL02g11930.1,main,wt_mock_5,52.89768873735952,5.644381076409096
SAG101,NbL02g11930.1,main,wt_mock_7,63.7016335954786,10.6358362418272
SAG101,NbL02g11930.1,main,wt_mock_10,53.00835733163177,6.553477825440281
SAG101,NbL02g11930.1,main,wt_ag_2,60.4137765928376,10.89574953181735
SAG101,NbL02g11930.1,main,wt_ag_5,79.38102020037381,16.29781559702202
SAG101,NbL02g11930.1,main,wt_ag_7,95.07341842763897,12.58813990880999
SAG101,NbL02g11930.1,main,wt_ag_10,81.16688077526106,5.040737225942653
SAG101,NbL02g11930.1,main,p19o_ag_2,63.57770042563357,3.147781889019275
SAG101,NbL02g11930.1,main,p19o_ag_5,68.30669678086561,10.46145486030393
SAG101,NbL02g11930.1,main,p19o_ag_7,79.40689405171354,10.79586871077589
SAG101,NbL02g11930.1,main,p19o_ag_10,80.7590564180507,6.29750797074755
COI1,NbL15g12290.1,main,wt_mock_2,411.4424058234447,21.75223754731872
COI1,NbL15g12290.1,main,wt_mock_5,468.3580537344039,15.41102943321553
COI1,NbL15g12290.1,main,wt_mock_7,442.0733012627467,27.38416728630238
COI1,NbL15g12290.1,main,wt_mock_10,471.4126474527262,11.750112639513
COI1,NbL15g12290.1,main,wt_ag_2,335.2645769850776,11.08326265780106
COI1,NbL15g12290.1,main,wt_ag_5,366.5698800091685,9.839165928577177
COI1,NbL15g12290.1,main,wt_ag_7,371.885842730348,6.636331048899989
COI1,NbL15g12290.1,main,wt_ag_10,359.5860037282625,12.03951904965719
COI1,NbL15g12290.1,main,p19o_ag_2,331.0063556338292,21.21955334270067
COI1,NbL15g12290.1,main,p19o_ag_5,371.0110347112779,3.356884332494726
COI1,NbL15g12290.1,main,p19o_ag_7,341.893334167628,10.42531787116327
COI1,NbL15g12290.1,main,p19o_ag_10,353.0981867887924,22.97992183481341
COI1,NbL10g11810.1,main,wt_mock_2,421.1761489920825,33.96083132273255
COI1,NbL10g11810.1,main,wt_mock_5,471.7390000988316,13.52730701790377
COI1,NbL10g11810.1,main,wt_mock_7,438.5198168198037,5.310739562258633
COI1,NbL10g11810.1,main,wt_mock_10,420.6445535431308,39.07698405938873
COI1,NbL10g11810.1,main,wt_ag_2,303.206550461211,38.10445457044266
COI1,NbL10g11810.1,main,wt_ag_5,320.971535968353,23.042434343677
COI1,NbL10g11810.1,main,wt_ag_7,320.6125389134374,7.655759710786703
COI1,NbL10g11810.1,main,wt_ag_10,268.4072470016445,15.85530788951627
COI1,NbL10g11810.1,main,p19o_ag_2,313.2622271423131,16.00074755425858
COI1,NbL10g11810.1,main,p19o_ag_5,308.8295357399333,8.305891095295856
COI1,NbL10g11810.1,main,p19o_ag_7,303.4984206777584,14.58056233212745
COI1,NbL10g11810.1,main,p19o_ag_10,263.0519958377657,9.553643678160988
EDS5,NbL09g23040.1,main,wt_mock_2,941.6908316604719,113.5371300087277
EDS5,NbL09g23040.1,main,wt_mock_5,1063.367858032857,66.71510465496792
EDS5,NbL09g23040.1,main,wt_mock_7,1059.599510803259,81.13780295535
EDS5,NbL09g23040.1,main,wt_mock_10,1067.612448272089,68.0494011575242
EDS5,NbL09g23040.1,main,wt_ag_2,856.6334874888958,29.52485468896572
EDS5,NbL09g23040.1,main,wt_ag_5,933.9076464097228,76.40702699927306
EDS5,NbL09g23040.1,main,wt_ag_7,875.4463744127115,57.3264708670651
EDS5,NbL09g23040.1,main,wt_ag_10,941.4593665229932,48.93214686143531
EDS5,NbL09g23040.1,main,p19o_ag_2,883.4225111480965,41.01783068823757
EDS5,NbL09g23040.1,main,p19o_ag_5,780.0778353108495,67.73903760588975
EDS5,NbL09g23040.1,main,p19o_ag_7,718.9949835567481,13.26205456827859
EDS5,NbL09g23040.1,main,p19o_ag_10,745.9780664627106,17.3497994660226
EIN2,NbL05g03910.1,main,wt_mock_2,1125.866386927402,59.38388746134941
EIN2,NbL05g03910.1,main,wt_mock_5,1163.735947020073,12.43696877289818
EIN2,NbL05g03910.1,main,wt_mock_7,1158.891225113354,64.45244746721204
EIN2,NbL05g03910.1,main,wt_mock_10,1119.122986505243,57.68417485646859
EIN2,NbL05g03910.1,main,wt_ag_2,1074.493928384271,96.96886676918501
EIN2,NbL05g03910.1,main,wt_ag_5,1268.581113211633,56.90558627977742
EIN2,NbL05g03910.1,main,wt_ag_7,1428.27170178509,76.81114195822994
EIN2,NbL05g03910.1,main,wt_ag_10,1412.211534156866,82.8978973377003
EIN2,NbL05g03910.1,main,p19o_ag_2,1150.353966432785,79.6929317003875
EIN2,NbL05g03910.1,main,p19o_ag_5,1181.813774415767,58.02005375929925
EIN2,NbL05g03910.1,main,p19o_ag_7,1362.401147641653,132.8617274836367
EIN2,NbL05g03910.1,main,p19o_ag_10,1211.395601247603,48.89438588486116
EIN3,NbL07g03540.1,main,wt_mock_2,696.3288959876589,70.16421174882511
EIN3,NbL07g03540.1,main,wt_mock_5,934.4750724378163,129.5508141880823
EIN3,NbL07g03540.1,main,wt_mock_7,1153.715512096493,101.851871758965
EIN3,NbL07g03540.1,main,wt_mock_10,1317.384661774744,353.447193684613
EIN3,NbL07g03540.1,main,wt_ag_2,470.6120208423649,56.17971865022518
EIN3,NbL07g03540.1,main,wt_ag_5,624.8533470227717,64.79751875174627
EIN3,NbL07g03540.1,main,wt_ag_7,700.3043207479183,101.4827605679282
EIN3,NbL07g03540.1,main,wt_ag_10,847.6529909470725,91.40442136904073
EIN3,NbL07g03540.1,main,p19o_ag_2,485.3041784190933,38.61302799214754
EIN3,NbL07g03540.1,main,p19o_ag_5,601.9608906389802,44.90100838422246
EIN3,NbL07g03540.1,main,p19o_ag_7,755.0012408927315,62.96740731425776
EIN3,NbL07g03540.1,main,p19o_ag_10,726.1925356273235,79.4887780238861
EIN3,NbL17g06220.1,main,wt_mock_2,907.5497186683243,100.6508574543765
EIN3,NbL17g06220.1,main,wt_mock_5,1091.2635789817,189.3850328157603
EIN3,NbL17g06220.1,main,wt_mock_7,1410.405465082855,52.23719088831516
EIN3,NbL17g06220.1,main,wt_mock_10,1622.205539106248,470.2619887422466
EIN3,NbL17g06220.1,main,wt_ag_2,625.2932416922507,58.85895716550557
EIN3,NbL17g06220.1,main,wt_ag_5,783.5113933812232,96.92706518280151
EIN3,NbL17g06220.1,main,wt_ag_7,895.1049066403672,161.7321728598881
EIN3,NbL17g06220.1,main,wt_ag_10,1061.824201154326,81.94574767675603
EIN3,NbL17g06220.1,main,p19o_ag_2,699.4247418108549,50.85835789445431
EIN3,NbL17g06220.1,main,p19o_ag_5,752.0151402869782,63.19224959792062
EIN3,NbL17g06220.1,main,p19o_ag_7,921.8509249501443,150.1394456036007
EIN3,NbL17g06220.1,main,p19o_ag_10,870.5502513459769,119.0064966567958
ETR1,NbL03g04220.1,main,wt_mock_2,522.2238712654289,21.09408400040649
ETR1,NbL03g04220.1,main,wt_mock_5,635.4310890912859,24.91768099902341
ETR1,NbL03g04220.1,main,wt_mock_7,739.6663865460091,68.52155543064433
ETR1,NbL03g04220.1,main,wt_mock_10,756.4069071848324,81.14338094510029
ETR1,NbL03g04220.1,main,wt_ag_2,450.268240162939,44.94569116180528
ETR1,NbL03g04220.1,main,wt_ag_5,554.0866722957729,22.73815864815499
ETR1,NbL03g04220.1,main,wt_ag_7,611.3057936636059,21.68342112017877
ETR1,NbL03g04220.1,main,wt_ag_10,624.5553314854852,9.567951332738746
ETR1,NbL03g04220.1,main,p19o_ag_2,519.2318109064679,80.70463052369739
ETR1,NbL03g04220.1,main,p19o_ag_5,594.3103007857496,8.797418386178675
ETR1,NbL03g04220.1,main,p19o_ag_7,629.4751670629348,35.53214606731108
ETR1,NbL03g04220.1,main,p19o_ag_10,628.6547467229697,4.473739989637457
ETR1,NbL05g10790.1,main,wt_mock_2,157.6129438435926,5.958118955166029
ETR1,NbL05g10790.1,main,wt_mock_5,157.4378528842817,7.521670980495131
ETR1,NbL05g10790.1,main,wt_mock_7,197.963997387965,13.71094660993789
ETR1,NbL05g10790.1,main,wt_mock_10,173.8805889536731,11.01633725255675
ETR1,NbL05g10790.1,main,wt_ag_2,151.0388713417178,20.4734276028396
ETR1,NbL05g10790.1,main,wt_ag_5,193.487596953098,17.51067178378895
ETR1,NbL05g10790.1,main,wt_ag_7,220.3892190723995,9.960975598881745
